feat,type,minimum,maximum
RuleGPwordorder,good,-Inf,0
RuleGPwordorder,medium,0,0.0018493055807869783
RuleGPwordorder,bad,0.0018493055807869783,Inf
RuleInfVerbDistance,bad,-Inf,0.20899738595159795
RuleInfVerbDistance,medium,0.20899738595159795,0.3280812901102518
RuleInfVerbDistance,good,0.3280812901102518,Inf
RuleInfVerbDistance.max_distance.v,good,-Inf,0.5361931348862496
RuleInfVerbDistance.max_distance.v,medium,0.5361931348862496,0.7502671603428164
RuleInfVerbDistance.max_distance.v,bad,0.7502671603428164,Inf
RuleLiteraryStyle,good,-Inf,0.0018036448450347883
RuleLiteraryStyle,medium,0.0018036448450347883,0.003397959607808726
RuleLiteraryStyle,bad,0.003397959607808726,Inf
RuleLongSentences.max_length,good,-Inf,11.24634711332858
RuleLongSentences.max_length,medium,11.24634711332858,14.002057613168724
RuleLongSentences.max_length,bad,14.002057613168724,Inf
RuleLongSentences.max_length.v,good,-Inf,0.6496285222835505
RuleLongSentences.max_length.v,medium,0.6496285222835505,0.7720520450774987
RuleLongSentences.max_length.v,bad,0.7720520450774987,Inf
RuleMultiPartVerbs.max_distance,good,-Inf,1.761904761904762
RuleMultiPartVerbs.max_distance,medium,1.761904761904762,2.263265306122449
RuleMultiPartVerbs.max_distance,bad,2.263265306122449,Inf
RuleMultiPartVerbs.max_distance.v,good,-Inf,0.5240631695422282
RuleMultiPartVerbs.max_distance.v,medium,0.5240631695422282,0.7384783284931616
RuleMultiPartVerbs.max_distance.v,bad,0.7384783284931616,Inf
RulePassive,good,-Inf,0
RulePassive,medium,0,2.3604492866485208e-4
RulePassive,bad,2.3604492866485208e-4,Inf
RulePredAtClauseBeginning.max_order,good,-Inf,2.7123346928686196
RulePredAtClauseBeginning.max_order,medium,2.7123346928686196,3.3282667876588024
RulePredAtClauseBeginning.max_order,bad,3.3282667876588024,Inf
RulePredAtClauseBeginning.max_order.v,good,-Inf,0.693942320972611
RulePredAtClauseBeginning.max_order.v,medium,0.693942320972611,0.8581717511823799
RulePredAtClauseBeginning.max_order.v,bad,0.8581717511823799,Inf
RulePredObjDistance,bad,-Inf,0.6531972789115645
