columns,kernel,gamma,cost,error,dispersion,degree
readforms,sigmoid,0.001,1,0.2611842105263158,0.04335425339127673,NA
readforms,sigmoid,0.01,1,0.2593358395989975,0.04052140646286204,NA
readforms,sigmoid,0.1,1,0.3410714285714286,0.059794531949891545,NA
readforms,sigmoid,1,1,0.3962406015037594,0.05794691213073753,NA
readforms,sigmoid,10,1,0.3641917293233083,0.051612715236912576,NA
readforms,sigmoid,100,1,0.3536340852130326,0.05371074902270448,NA
readforms,sigmoid,1000,1,0.325062656641604,0.0489161631162454,NA
readforms,sigmoid,0.001,10,0.2593358395989975,0.04052140646286204,NA
readforms,sigmoid,0.01,10,0.26641604010025066,0.04346156415166386,NA
readforms,sigmoid,0.1,10,0.3215538847117794,0.04721200927685516,NA
readforms,sigmoid,1,10,0.3944235588972431,0.056820013061113464,NA
readforms,sigmoid,10,10,0.3659461152882206,0.05650118604964495,NA
readforms,sigmoid,100,10,0.3464912280701754,0.050595211153090555,NA
readforms,sigmoid,1000,10,0.3268483709273183,0.045342578290464494,NA
readforms,sigmoid,0.001,100,0.26641604010025066,0.04346156415166386,NA
readforms,sigmoid,0.01,100,0.2718045112781955,0.046196073283783286,NA
readforms,sigmoid,0.1,100,0.33577694235588973,0.0654963900467888,NA
readforms,sigmoid,1,100,0.39085213032581456,0.04947014214603025,NA
readforms,sigmoid,10,100,0.3659461152882206,0.05650118604964495,NA
readforms,sigmoid,100,100,0.3482769423558897,0.0492081952732499,NA
readforms,sigmoid,1000,100,0.3268483709273183,0.045342578290464494,NA
readforms,sigmoid,0.001,1000,0.2717731829573935,0.038592300894203894,NA
readforms,sigmoid,0.01,1000,0.3197994987468672,0.07465448208142347,NA
readforms,sigmoid,0.1,1000,0.32860275689223056,0.05092401173835341,NA
readforms,sigmoid,1,1000,0.39085213032581456,0.04947014214603025,NA
readforms,sigmoid,10,1000,0.3659461152882206,0.05650118604964495,NA
readforms,sigmoid,100,1000,0.3482769423558897,0.0492081952732499,NA
readforms,sigmoid,1000,1000,0.325062656641604,0.0489161631162454,NA
