fpath,KUK_ID,FileName,FileFormat,FolderPath,subcorpus,SourceDB,SourceID,DocumentTitle,ClarityPursuit,Readability,SyllogismBased,DocumentVersion,ParentDocumentID,LegalActType,Objectivity,Bindingness,AuthorType,RecipientType,RecipientIndividuation,Anonymized,Recipient Type,class,RuleAbstractNouns,RuleAmbiguousRegards,RuleAnaphoricReferences,RuleCaseRepetition,RuleCaseRepetition.max_repetition_count,RuleCaseRepetition.max_repetition_count.v,RuleCaseRepetition.max_repetition_frac,RuleCaseRepetition.max_repetition_frac.v,RuleConfirmationExpressions,RuleDoubleAdpos,RuleDoubleAdpos.max_allowable_distance,RuleDoubleAdpos.max_allowable_distance.v,RuleDoubleComparison,RuleFunctionWordRepetition,RuleGPadjective,RuleGPcoordovs,RuleGPdeverbaddr,RuleGPdeverbsubj,RuleGPpatbenperson,RuleGPpatinstr,RuleGPwordorder,RuleIncompleteConjunction,RuleInfVerbDistance,RuleInfVerbDistance.max_distance,RuleInfVerbDistance.max_distance.v,RuleLiteraryStyle,RuleLongSentences,RuleLongSentences.max_length,RuleLongSentences.max_length.v,RuleMultiPartVerbs,RuleMultiPartVerbs.max_distance,RuleMultiPartVerbs.max_distance.v,RulePassive,RulePredAtClauseBeginning,RulePredAtClauseBeginning.max_order,RulePredAtClauseBeginning.max_order.v,RulePredObjDistance,RulePredObjDistance.max_distance,RulePredObjDistance.max_distance.v,RulePredSubjDistance,RulePredSubjDistance.max_distance,RulePredSubjDistance.max_distance.v,RuleRedundantExpressions,RuleReflexivePassWithAnimSubj,RuleRelativisticExpressions,RuleTooFewVerbs,RuleTooFewVerbs.min_verb_frac,RuleTooFewVerbs.min_verb_frac.v,RuleTooLongExpressions,RuleTooManyNegations,RuleTooManyNegations.max_allowable_negations,RuleTooManyNegations.max_allowable_negations.v,RuleTooManyNegations.max_negation_frac,RuleTooManyNegations.max_negation_frac.v,RuleTooManyNominalConstructions,RuleTooManyNominalConstructions.max_allowable_nouns,RuleTooManyNominalConstructions.max_allowable_nouns.v,RuleTooManyNominalConstructions.max_noun_frac,RuleTooManyNominalConstructions.max_noun_frac.v,RuleVerbalNouns,RuleWeakMeaningWords,RuleWrongValencyCase,RuleWrongVerbonominalCase,activity,ari,atl,char_count,cli,entropy,fkgl,fre,gf,hpoint,maentropy,maentropy.v,mamr,mattr,mattr.v,num_hapax,sent_count,smog,syllab_count,ttr,verb_dist,word_count
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/0217_6Afs_2000035_20210219141328__1_.txt,674465a7c6537d54ff063161,0217_6Afs_2000035_20210219141328__1_,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,False,Original,,individual,quasiobjective,True,authority,combined,bulk,On-site anonymization,,good,3.0,,3.0,911,1.70801317233809,0.7247214376492787,0.9652089342539398,0.08853279582755383,3.0,15.0,5.066666666666666,0.6262107386468838,,,,,,,1.0,1.0,2.0,,15.0,2.7333333333333334,1.2326815066265608,37.0,129,32.93023255813954,0.8382090500823016,109,3.3944954128440368,1.1493932698047507,20.0,261,6.068965517241379,1.0525214131291385,109.0,3.9174311926605503,1.0323184244292634,172,4.1104651162790695,1.3522195816427012,,4.0,,98,0.0887920864234818,0.5363402995523106,9.0,43.0,1.5116279069767442,0.4868169076830489,0.15465640670479033,0.7177995729633191,233,5.1888412017167385,0.7907415642354375,0.3603654402312996,0.2969179947242316,146,12.0,,,0.2795969773299748,17.839285044273623,5.399442119944212,19357.0,11.448256624825662,8.352391153196587,17.52915832765723,27.905009276377683,18.045149362654474,25.0,5.994098440053192,0.024081388695565645,0.07988238668961556,0.7204302925989673,0.07760246241045611,352.0,129.0,15.663278658817767,7643.0,0.21478382147838215,19.533936651583712,3585.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/2869_2020_VOP.txt,67446d96c6537d54ff06318b,2869_2020_VOP,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,False,Original,,individual,quasiobjective,False,authority,combined,bulk,On-site anonymization,,good,19.0,,3.0,1495,1.605351170568562,0.6697621252237269,0.9726218226218226,0.0794645670650442,,34.0,4.735294117647059,0.8979333844223145,,,,1.0,1.0,,2.0,2.0,6.0,,63.0,2.111111111111111,0.846972352574906,36.0,450,16.066666666666666,2.0305944565109617,215,2.9813953488372094,1.7331686851925574,23.0,537,4.68901303538175,1.1096494735810483,275.0,10.632727272727273,4.688106212650798,347,5.610951008645533,1.9565727132712052,,5.0,,219,0.1384318829622285,0.44468624782410465,10.0,77.0,1.5324675324675325,0.5559667424705131,0.2099248960020541,0.7271716897483392,458,3.6331877729257642,0.7412332866671758,0.3692200378974644,0.356467842861063,257,21.0,1.0,,0.4134304207119741,14.10033202099737,5.519685039370079,30143.0,11.691338582677167,8.651955288372834,15.21099829091131,31.311980284441177,17.27823963864982,30.666666666666668,5.921813743329006,0.0555191294004384,0.09089705333830667,0.711976874300634,0.10144009633318164,603.0,258.0,15.464916386856306,12316.0,0.2182750412012452,12.741176470588234,5461.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/5791_2023_VOP.txt,67446d96c6537d54ff06318c,5791_2023_VOP,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,False,Original,,individual,quasiobjective,False,authority,combined,bulk,On-site anonymization,,good,11.0,,,1056,1.5634469696969697,0.6251249236028037,0.9789203588919498,0.07023904399574683,,10.0,3.8,0.9431354425063587,,,,1.0,1.0,,,,3.0,,69.0,2.3333333333333335,0.9987987983652393,9.0,424,12.68867924528302,2.553406718812169,219,6.045662100456621,4.017673230624062,4.0,451,3.796008869179601,0.915536367877083,181.0,2.0110497237569063,0.7051507417548809,243,2.8518518518518516,1.2072727540592156,,5.0,,188,0.15444219811039928,0.4066364456147567,3.0,75.0,1.4666666666666666,0.46666879393667265,0.21340304140304142,0.5361794655172176,352,3.039772727272727,0.7728937850747779,0.34422776000733407,0.3557885954756407,134,5.0,,,0.4417372881355932,10.246883706341624,5.493702770780857,21810.0,11.04015113350126,8.535182186934367,11.818524387890015,43.28137820048835,14.326104789754579,25.0,5.91977788835881,0.06459998728472609,0.09060707827434766,0.7139033841384655,0.11493217179587832,527.0,261.0,13.242596626933164,8825.0,0.24811083123425692,11.149038461538462,3970.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/27135_2024_S.txt,67446d96c6537d54ff06318d,27135_2024_S,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,True,Original,,individual,quasiobjective,False,authority,legal person,individual,On-site anonymization,,good,2.0,,,201,1.7313432835820894,0.7413522448948958,0.9663245819962237,0.08748395444744805,1.0,5.0,8.6,0.7695531212918278,,,,,,,,,,,9.0,1.6666666666666667,0.6,2.0,39,30.256410256410255,1.3727198256313187,23,2.3043478260869565,0.8819619541524711,2.0,57,4.421052631578948,1.0204992164591067,25.0,2.24,0.8179110764084104,39,2.4871794871794872,1.0014309757514492,,2.0,1.0,26,0.14167080315882824,0.45767652181014795,1.0,8.0,1.875,0.5285499781147279,0.24925595238095238,0.5141562811166512,51,3.549019607843137,1.0349958383183109,0.32977181971571895,0.3639034136653275,47,,,,0.28804347826086957,13.63742678942679,5.607464607464608,4357.0,12.019562419562417,7.867917740401371,13.878585585585583,38.06001178101178,16.30899910899911,9.0,6.037911078581141,0.029695269637888204,0.06647492625368734,0.7448230088495575,0.09139131144953148,237.0,39.0,14.772240535888997,1694.0,0.46846846846846846,19.423076923076923,777.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/3056_2024_VOP.txt,67502879c6537d54ff063b0f,3056_2024_VOP,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,low,False,Original,,individual,quasiobjective,False,authority,combined,bulk,On-site anonymization,,bad,6.0,,,539,1.49721706864564,0.6127048526784412,0.9732264334305151,0.0789805441819974,,1.0,2.0,,,,,,,,,,,,35.0,2.4,0.7231015260621872,2.0,131,16.671755725190838,0.5980351814642388,62,2.032258064516129,0.8212932681862586,4.0,199,4.135678391959799,0.8445191165977343,91.0,2.3516483516483517,0.817642774991056,94,2.9680851063829787,1.2386062705475405,,1.0,,108,0.14904556375819758,0.4347356944081056,3.0,30.0,1.2666666666666666,0.3550866671911608,0.24184019684019684,0.6163443059220753,161,3.4906832298136647,0.6244588024238031,0.358199095569055,0.3300472436748593,142,8.0,,,0.4874141876430206,8.917801676886498,5.3448087431693985,9781.0,10.173278688524588,8.241953842449133,10.58442814833354,49.36439223292871,11.948441997246903,16.5,5.898493476364065,0.028606462117165034,0.0806643558636626,0.696787983824379,0.08121801851865186,329.0,131.0,11.64353398180609,3950.0,0.3273224043715847,10.43867924528302,1830.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/1411_2023_VOP.txt,67502cfcc6537d54ff063b10,1411_2023_VOP,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,False,Original,,individual,quasiobjective,False,authority,combined,bulk,On-site anonymization,,good,6.0,,,994,1.580482897384306,0.7116082990874482,0.9736708853409055,0.07883792055001919,2.0,11.0,3.272727272727273,0.6707053593138687,,,,,,,2.0,,2.0,,38.0,2.1842105263157894,0.7440040823258584,8.0,304,17.845394736842106,2.5834662277594753,179,2.921787709497207,1.0734272989455078,11.0,394,4.626903553299492,0.9424020212460639,158.0,4.208860759493671,3.4658642891360776,174,7.804597701149425,3.088833344972297,,,,143,0.12868974848009251,0.47712073332093086,4.0,59.0,1.728813559322034,0.5666480668681628,0.23457235076876154,0.5896902043160641,280,3.9464285714285716,0.6664911784383741,0.3661543445229839,0.3257781633965347,140,6.0,,,0.43478260869565216,13.522501253522378,5.305189567087927,19730.0,10.703979564399036,8.18168844964672,14.075552232171304,39.65978074316081,15.987927017487145,27.0,5.818712358588535,0.06572973508102375,0.10761602209944754,0.6765524861878452,0.10925085581155221,369.0,173.0,14.513240649328758,7855.0,0.21349825221833826,12.559270516717325,3719.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/6525_2022_VOP.txt,67502cfcc6537d54ff063b11,6525_2022_VOP,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,False,Original,,individual,quasiobjective,False,authority,combined,bulk,On-site anonymization,,good,2.0,,,361,1.5263157894736843,0.7110289455767684,0.9720930193229362,0.0808291220238673,,1.0,2.0,,,,,,,,1.0,1.0,1.0,,15.0,1.2666666666666666,0.4686448734510502,1.0,108,22.796296296296298,2.5846231235402826,57,2.6491228070175437,0.9820044321213292,1.0,118,4.737288135593221,0.919267319568818,40.0,2.675,0.9441636529725852,61,17.16393442622951,2.6077384262115446,,,,49,0.13850464965067805,0.43263124785420326,2.0,14.0,1.1428571428571428,0.31774445465112133,0.18497732426303856,0.43773506729200257,97,3.484536082474227,0.568125501844003,0.35986862507481066,0.3301068055048672,74,3.0,,,0.4028776978417266,13.97084637650427,5.285320468642316,7669.0,10.659820813232256,7.989129556338559,14.292962095106823,39.72275198006679,16.81344855007157,15.0,5.842677959873269,0.09486917646698678,0.09107248520710065,0.6970488165680473,0.12242986353587902,248.0,65.0,15.112257680678326,3031.0,0.33080634045485874,10.405405405405405,1451.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/1732_2023_VOP.txt,67502cfcc6537d54ff063b12,1732_2023_VOP,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,True,Original,,individual,quasiobjective,False,authority,combined,bulk,On-site anonymization,,good,20.0,,1.0,1179,1.6140797285835453,0.6928889403950602,0.9709547614763899,0.0822841637522517,1.0,16.0,4.3125,0.6543281650793026,,,,,,,,,3.0,,40.0,3.25,1.0399397762752765,28.0,231,24.92207792207792,1.58116177595546,167,2.7005988023952097,1.0516737382665504,20.0,437,5.068649885583524,0.9272060649824022,184.0,2.3152173913043477,0.9185942428270999,258,3.449612403100775,1.601298377204445,,10.0,1.0,187,0.12883540648569253,0.44752518643713446,3.0,61.0,1.5245901639344261,0.5818386777835992,0.1994230797976093,0.6261778730787786,373,3.546916890080429,0.694981027008349,0.36092884902048883,0.37290001582131654,215,9.0,,,0.4209968186638388,12.000116104533308,5.350275988960441,23263.0,10.726839926402944,8.266904437642376,13.09955222384178,41.30769474744818,14.667918772426592,29.0,5.805887465874054,0.0595572647536935,0.11160273005413046,0.6701012002824194,0.10305483748839507,357.0,231.0,13.599657508817497,9381.0,0.18836246550137994,12.48989898989899,4348.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/6421_2023_VOP.txt,67502cfcc6537d54ff063b13,6421_2023_VOP,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,False,Original,,individual,quasiobjective,False,authority,combined,bulk,On-site anonymization,,good,5.0,,,567,1.7001763668430334,0.7814245845307665,0.9668116960445003,0.08587772549653719,,7.0,3.2857142857142856,0.547665032686701,,,,,,2.0,,,1.0,,22.0,3.227272727272727,1.055913171883686,14.0,113,31.707964601769913,1.853877850077563,103,22.631067961165048,1.5598443880730948,11.0,219,4.397260273972603,1.0997859502618987,109.0,3.81651376146789,2.536906386056679,142,29.725352112676056,1.6631496794943406,,,3.0,82,0.15051832280362362,0.4215796695014428,3.0,34.0,1.6176470588235294,0.5697262755489156,0.2025343481009571,0.6817219626390697,179,3.3966480446927374,0.8376199754505356,0.33744580539133356,0.38279595876772843,116,11.0,,,0.41058394160583944,13.665777496839446,5.4298356510745895,12885.0,11.258322798145814,8.245425705683802,14.074621997471553,38.7373615676359,15.79991571849979,20.0,5.965747256678544,0.07725674777470326,0.083575197889182,0.7325549692172384,0.1107611924475531,310.0,113.0,14.38908920526369,5079.0,0.27054361567635904,11.785714285714286,2373.0
corpora_selected_txt/KUK_1.0/data/KUKY/TXT/857_2024_VOP.txt,675efd2cc6537d54ff0646c2,857_2024_VOP,TXT,data/KUKY/TXT,KUKY,SourceDB,,,,high,True,Original,,individual,quasiobjective,False,authority,combined,public,Anonymized by source,,good,1.0,,,324,1.5771604938271604,0.5500338426537307,0.9679379776602,0.08527267681047218,,1.0,6.0,,,,,,,,,,1.0,,8.0,3.0,0.7126966450997984,10.0,58,28.06896551724138,1.23756033108127,31,4.064516129032258,0.9071767643077288,3.0,86,4.383720930232558,0.8355343056227297,58.0,2.6724137931034484,0.865265029671262,46,3.391304347826087,1.1720563648707645,,,,40,0.1279307285224248,0.4976047948205418,2.0,18.0,1.4444444444444444,0.5426469527051588,0.16820906124353308,0.7668445608046597,80,3.7625,0.8126087980135607,0.3400620860609331,0.2666965442721477,85,4.0,,,0.35826771653543305,12.043905456612354,5.091293322062553,6023.0,9.626880811496198,7.5595636431537105,12.10091695572332,51.04746847582125,14.988713673594312,14.0,5.786504955805551,0.040622949711045034,0.08227859778597779,0.659760147601476,0.12936922420012725,181.0,58.0,13.79031308682828,2317.0,0.30177514792899407,12.011111111111111,1183.0
